units_sold,low_price,high_price,year,month,year_date,is_ev_dummy,body_type,brand,brand_country
69098,316.9,417.9,2022,November,2022-11-01,1,SUV,Tesla,United States
68567,32.8,99.9,2022,November,2022-11-01,1,Hatchback,Wuling Motors,China
64145,152.8,216.8,2022,November,2022-11-01,1,SUV,BYD,China
31786,214.8,329.8,2022,November,2022-11-01,1,Sedan,BYD,China
31193,266.7,339.9,2022,November,2022-11-01,1,Sedan,Tesla,United States
29402,137.8,165.8,2022,November,2022-11-01,1,SUV,BYD,China
28867,100.9,159.9,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
26063,102.8,136.8,2022,November,2022-11-01,1,Hatchback,BYD,China
25498,111.8,175.8,2022,November,2022-11-01,1,Sedan,BYD,China
24929,99.8,174.9,2022,November,2022-11-01,0,Sedan,Nissan,Japan
22123,85.8,99.8,2022,November,2022-11-01,0,SUV,MG,China
21860,179.8,269.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
21582,109.8,159.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
21148,98.9,157,2022,November,2022-11-01,0,SUV,Great Wall,China
20089,117.9,154.9,2022,November,2022-11-01,0,SUV,Changan,China
20020,205.8,339.8,2022,November,2022-11-01,1,SUV,BYD,China
19837,169.8,259.8,2022,November,2022-11-01,0,Sedan,Honda,Japan
18560,209.9,309.9,2022,November,2022-11-01,0,SUV,Buick,United States
17902,181.9,252.9,2022,November,2022-11-01,0,Sedan,Volkswagen,Germany
17739,75.8,119.8,2022,November,2022-11-01,0,SUV,Geely Automobile,China
17375,127.9,172.9,2022,November,2022-11-01,0,Sedan,Volkswagen,Germany
16781,69.9,129.8,2022,November,2022-11-01,0,Hatchback,Geely Automobile,China
15356,209.8,286.8,2022,November,2022-11-01,1,Sedan,BYD,China
15323,139.8,179.8,2022,November,2022-11-01,0,Sedan,GAC Aion,China
14652,67.9,99.9,2022,November,2022-11-01,0,NA,MG,China
14495,111.8,152.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
13881,46,59.9,2022,November,2022-11-01,0,MPV,Wuling Motors,China
13558,325.2,377.3,2022,November,2022-11-01,0,Sedan,Mercedes-Benz,Germany
13235,48.9,63.9,2022,November,2022-11-01,1,Hatchback,Changan,China
12870,129.8,169.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
12797,149.9,189.9,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
12773,113.7,152.7,2022,November,2022-11-01,0,Sedan,Geely Automobile,China
12567,169.8,276.8,2022,November,2022-11-01,0,SUV,Honda,Japan
12234,125.8,169.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
11920,232.9,533.9,2022,November,2022-11-01,0,MPV,Buick,United States
11560,137.6,202.6,2022,November,2022-11-01,1,SUV,GAC Aion,China
11514,95.8,168.9,2022,November,2022-11-01,0,SUV,Chery,China
11500,406.3,476.8,2022,November,2022-11-01,0,SUV,Mercedes-Benz,Germany
11451,86.9,149.9,2022,November,2022-11-01,0,SUV,Chery,China
11263,79.9,123.8,2022,November,2022-11-01,1,SUV,Hozon,China
11220,79.9,170.9,2022,November,2022-11-01,0,SUV,Chery,China
11208,137.2,185.2,2022,November,2022-11-01,0,SUV,Geely Automobile,China
11011,299,386,2022,November,2022-11-01,0,NA,Zeekr,China
10909,171.8,248.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
10898,175.8,260.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
10820,293.9,409.9,2022,November,2022-11-01,0,Sedan,BMW,Germany
10599,92.9,125.9,2022,November,2022-11-01,0,SUV,Changan,China
10497,72.9,103.9,2022,November,2022-11-01,0,Hatchback,Changan,China
10489,69.8,109.8,2022,November,2022-11-01,0,SUV,Wuling Motors,China
10297,204.9,264.9,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
10251,396.9,479.8,2022,November,2022-11-01,0,SUV,BMW,Germany
10151,129.9,187.9,2022,November,2022-11-01,0,Hatchback,Honda,Japan
10107,125.7,170.7,2022,November,2022-11-01,0,SUV,Geely Automobile,China
10106,186.9,309.9,2022,November,2022-11-01,0,Sedan,Volkswagen,Germany
10002,69.9,109.9,2022,November,2022-11-01,0,SUV,Changan,China
9995,199,283.8,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
9899,305.8,396.8,2022,November,2022-11-01,0,Sedan,Audi,Germany
9832,396.8,488.8,2022,November,2022-11-01,0,SUV,Audi,Germany
9828,158.6,223.8,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
9785,183.8,249.8,2022,November,2022-11-01,0,SUV,Hongqi,China
9619,436.8,556,2022,November,2022-11-01,0,Sedan,Mercedes-Benz,Germany
9124,279.7,360.7,2022,November,2022-11-01,0,Sedan,Cadillac,United States
9087,459.8,459.8,2022,November,2022-11-01,1,SUV,Li Auto,China
9022,196.8,249.8,2022,November,2022-11-01,0,Sedan,Buick,United States
8879,99.8,141.8,2022,November,2022-11-01,0,Hatchback,Hyundai,South Korea
8767,69.9,101.9,2022,November,2022-11-01,0,SUV,Chery,China
8735,119.9,167.9,2022,November,2022-11-01,0,SUV,Great Wall,China
8665,87.9,112.8,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
8645,98.8,157,2022,November,2022-11-01,0,Sedan,Volkswagen,Germany
8462,198.8,302.8,2022,November,2022-11-01,0,SUV,Great Wall,China
8392,43.1,54.5,2022,November,2022-11-01,0,NA,Wuling Motors,China
8337,433.9,551.9,2022,November,2022-11-01,0,Sedan,BMW,Germany
8009,79.8,109.8,2022,November,2022-11-01,0,Sedan,Geely Automobile,China
7668,154.9,188.9,2022,November,2022-11-01,0,SUV,Nissan,Japan
7584,71.9,92.9,2022,November,2022-11-01,0,SUV,Great Wall,China
7381,605,775,2022,November,2022-11-01,0,SUV,BMW,Germany
7103,279.8,339.8,2022,November,2022-11-01,0,SUV,BMW,Germany
7072,169.8,252.8,2022,November,2022-11-01,0,SUV,Honda,Japan
7025,136.8,256.8,2022,November,2022-11-01,0,Sedan,Lynk & Co,China
6954,85.8,103.8,2022,November,2022-11-01,0,Hatchback,Toyota,Japan
6733,108.9,139.9,2022,November,2022-11-01,0,Hatchback,Changan,China
6686,81.8,108.8,2022,November,2022-11-01,0,Hatchback,Honda,Japan
6664,56.8,86.8,2022,November,2022-11-01,0,SUV,Wuling Motors,China
6625,179.8,369.8,2022,November,2022-11-01,0,MPV,GAC Group,China
6585,99.9,122.9,2022,November,2022-11-01,0,Sedan,Changan,China
6585,168.9,699.9,2022,November,2022-11-01,0,NA,Deepal,China
6540,129.8,186.8,2022,November,2022-11-01,0,NA,MG,China
6536,419.8,656.8,2022,November,2022-11-01,0,Sedan,Audi,Germany
6522,309.8,405.8,2022,November,2022-11-01,0,MPV,Toyota,Japan
6503,108.9,132.9,2022,November,2022-11-01,0,Sedan,Chery,China
6497,65.7,71.2,2022,November,2022-11-01,0,SUV,Dongfeng,China
6382,159.8,218.8,2022,November,2022-11-01,0,Sedan,Ford,United States
6371,199.8,289.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
6311,78.9,112.9,2022,November,2022-11-01,0,SUV,Great Wall,China
6239,50.9,57.6,2022,November,2022-11-01,0,NA,Wuling Motors,China
6210,142.8,153.8,2022,November,2022-11-01,1,Sedan,Dongfeng,China
6032,119.8,155.8,2022,November,2022-11-01,1,Sedan,BYD,China
6012,118.6,139.8,2022,November,2022-11-01,0,SUV,Lynk & Co,China
6011,129.8,155.8,2022,November,2022-11-01,0,SUV,Hyundai,South Korea
5928,129.8,229.8,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
5920,91.8,142.8,2022,November,2022-11-01,0,SUV,Geely Automobile,China
5907,59.9,85.8,2022,November,2022-11-01,0,Sedan,Chery,China
5856,179.8,269.8,2022,November,2022-11-01,0,Sedan,Nissan,Japan
5793,49.9,69.9,2022,November,2022-11-01,0,SUV,Chery,China
5744,88.8,172.8,2022,November,2022-11-01,0,SUV,JAC Group,China
5669,90.9,124.9,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
5666,94.9,108.9,2022,November,2022-11-01,0,Sedan,Ch1rolet,United States
5596,147.9,182.9,2022,November,2022-11-01,0,SUV,Exeed,China
5540,99.9,129.9,2022,November,2022-11-01,0,SUV,Changan,China
5441,158.9,204.9,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
5402,349.9,349.9,2022,November,2022-11-01,1,Sedan,BMW,Germany
5385,203.1,249.7,2022,November,2022-11-01,0,Hatchback,Audi,Germany
5319,68.8,99.8,2022,November,2022-11-01,0,MPV,Wuling Motors,China
5293,359.8,399.8,2022,November,2022-11-01,1,SUV,Li Auto,China
5279,99.8,132,2022,November,2022-11-01,0,SUV,Geely Automobile,China
5248,92.9,126.9,2022,November,2022-11-01,0,SUV,Chery,China
5243,55.7,62.7,2022,November,2022-11-01,0,NA,Dongfeng,China
5218,109.8,169.8,2022,November,2022-11-01,0,SUV,MG,China
5200,295.9,364.8,2022,November,2022-11-01,0,SUV,Mercedes-Benz,Germany
5183,129.9,171.9,2022,November,2022-11-01,1,Sedan,Beijing Auto,China
5169,179.9,255.9,2022,November,2022-11-01,0,Sedan,Honda,Japan
5123,86.8,115.8,2022,November,2022-11-01,0,SUV,Jetta,Germany
5038,126.9,146.9,2022,November,2022-11-01,0,SUV,Dongfeng,China
4990,399.9,439.9,2022,November,2022-11-01,1,SUV,BMW,Germany
4982,64.9,98.9,2022,November,2022-11-01,0,Sedan,Dongfeng,China
4922,126.8,207.8,2022,November,2022-11-01,0,NA,Geometry,China
4897,468,548,2022,November,2022-11-01,1,SUV,NIO,China
4880,169.9,239.9,2022,November,2022-11-01,0,SUV,Ch1rolet,United States
4880,261.7,354.7,2022,November,2022-11-01,0,SUV,Cadillac,United States
4799,275.8,352.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
4772,159.8,225.8,2022,November,2022-11-01,0,Sedan,Hongqi,China
4769,332.7,452.7,2022,November,2022-11-01,0,SUV,Cadillac,United States
4748,259.8,331.8,2022,November,2022-11-01,1,SUV,Seres,China
4660,214.8,264.8,2022,November,2022-11-01,0,Sedan,Mercedes-Benz,Germany
4650,79.9,133.9,2022,November,2022-11-01,0,SUV,Changan,China
4426,69.9,109.9,2022,November,2022-11-01,0,SUV,Changan,China
4421,258.8,348.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
4287,161.6,196.9,2022,November,2022-11-01,0,Hatchback,Buick,United States
4280,278.8,326.2,2022,November,2022-11-01,0,SUV,Audi,Germany
4146,67.8,82.8,2022,November,2022-11-01,1,Hatchback,Wuling Motors,China
4090,164.9,219.9,2022,November,2022-11-01,0,Sedan,Ch1rolet,United States
4074,189.3,286.3,2022,November,2022-11-01,1,SUV,Volkswagen,Germany
4048,39.9,57.5,2022,November,2022-11-01,1,Hatchback,Chery,China
4036,159.8,173.8,2022,November,2022-11-01,1,SUV,Great Wall,China
4020,73.9,94,2022,November,2022-11-01,1,Hatchback,Chery,China
4005,186.8,269.8,2022,November,2022-11-01,0,SUV,GAC Group,China
3980,89.8,131.8,2022,November,2022-11-01,0,SUV,GAC Group,China
3965,129.9,186.9,2022,November,2022-11-01,0,Hatchback,Honda,Japan
3959,219.8,289.8,2022,November,2022-11-01,0,Sedan,Buick,United States
3914,60,60,2022,November,2022-11-01,0,Hatchback,SAIC Group,China
3899,115.9,189.9,2022,November,2022-11-01,0,Hatchback,Mazda,Japan
3838,145.8,190.8,2022,November,2022-11-01,0,NA,Hongqi,China
3768,64.9,68.9,2022,November,2022-11-01,0,Sedan,Kia,South Korea
3764,65.8,92.8,2022,November,2022-11-01,0,Sedan,Jetta,Germany
3714,216.8,303.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
3632,79.8,149.8,2022,November,2022-11-01,1,Sedan,Rayton,China
3630,129.9,171,2022,November,2022-11-01,1,Hatchback,Great Wall,China
3607,123.8,185.8,2022,November,2022-11-01,1,SUV,Hozon,China
3570,73.9,89.9,2022,November,2022-11-01,1,Hatchback,Leapmotor,China
3550,159.8,159.8,2022,November,2022-11-01,1,Sedan,Guojin,China
3542,149.9,185.3,2022,November,2022-11-01,1,Hatchback,Volkswagen,Germany
3529,319.8,379.8,2022,November,2022-11-01,1,SUV,Seres,China
3515,53.8,80.8,2022,November,2022-11-01,0,SUV,Wuling Motors,China
3451,329.8,459.8,2022,November,2022-11-01,1,MPV,Byton,China
3447,78.8,145.8,2022,November,2022-11-01,0,Hatchback,JAC Group,China
3426,135.8,161.8,2022,November,2022-11-01,1,Sedan,Geely Automobile,China
3328,274.9,325.9,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
3327,98.3,148,2022,November,2022-11-01,0,Sedan,GAC Group,China
3310,99.9,135.9,2022,November,2022-11-01,0,SUV,Chery,China
3287,220,332.8,2022,November,2022-11-01,0,SUV,Honda,Japan
3210,295,405,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
3180,448,526,2022,November,2022-11-01,1,Sedan,NIO,China
3126,115.9,149.9,2022,November,2022-11-01,0,SUV,Changan,China
3039,139.8,153.8,2022,November,2022-11-01,1,MPV,SAIC Group,China
3038,187.3,287.3,2022,November,2022-11-01,1,SUV,Volkswagen,Germany
3032,122.8,239.8,2022,November,2022-11-01,1,Sedan,Hongqi,China
3031,189.8,269.8,2022,November,2022-11-01,1,Sedan,Great Wall,China
3013,145.8,164.8,2022,November,2022-11-01,1,MPV,Bestune,China
2968,328,386,2022,November,2022-11-01,1,Hatchback,NIO,China
2962,105.7,159.7,2022,November,2022-11-01,0,Sedan,Peugeot,France
2954,161.8,225.8,2022,November,2022-11-01,0,SUV,Hyundai,South Korea
2917,129.8,178.8,2022,November,2022-11-01,1,Sedan,Venucia,China
2886,309.8,399.8,2022,November,2022-11-01,0,SUV,Ford,United States
2858,111.8,151.8,2022,November,2022-11-01,0,SUV,Great Wall,China
2856,143.7,186.7,2022,November,2022-11-01,0,Hatchback,Citroën,France
2822,129.9,209.9,2022,November,2022-11-01,1,Sedan,BYD,China
2720,179.8,239.8,2022,November,2022-11-01,1,SUV,Leapmotor,China
2687,219.7,259.7,2022,November,2022-11-01,0,Sedan,Cadillac,United States
2666,103.6,142.6,2022,November,2022-11-01,0,SUV,Geely Automobile,China
2650,71.8,82.8,2022,November,2022-11-01,1,SUV,Dayun,China
2647,235.8,439.8,2022,November,2022-11-01,0,MPV,Honda,Japan
2637,89.8,159.8,2022,November,2022-11-01,1,MPV,Rayton,China
2596,296.9,384.9,2022,November,2022-11-01,0,Sedan,Volvo,Sweden
2578,89.9,172.9,2022,November,2022-11-01,0,SUV,Chery,China
2555,86.9,89.9,2022,November,2022-11-01,0,SUV,Southeast,China
2535,159.8,272.9,2022,November,2022-11-01,0,SUV,Beijing,China
2517,406.9,505.9,2022,November,2022-11-01,0,Sedan,Volvo,Sweden
2505,189.3,192.8,2022,November,2022-11-01,0,SUV,Nissan,Japan
2496,73.8,94.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
2457,335,395,2022,November,2022-11-01,0,SUV,Great Wall,China
2402,239.8,336.9,2022,November,2022-11-01,1,SUV,Volkswagen,Germany
2388,119.8,169.8,2022,November,2022-11-01,0,SUV,GAC Group,China
2376,279.8,331.8,2022,November,2022-11-01,0,MPV,Honda,Japan
2374,77.8,113.8,2022,November,2022-11-01,1,Hatchback,Wuling Motors,China
2368,132.8,178.8,2022,November,2022-11-01,1,SUV,Hechuang,China
2350,520.3,522.3,2022,November,2022-11-01,1,Sedan,Mercedes-Benz,Germany
2306,373.9,474.9,2022,November,2022-11-01,0,SUV,Volvo,Sweden
2271,86.8,131.8,2022,November,2022-11-01,0,NA,Geometry,China
2259,249.9,299.9,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
2213,299.9,382.5,2022,November,2022-11-01,1,SUV,Audi,Germany
2188,103.9,136.9,2022,November,2022-11-01,0,SUV,Dongfeng Fengxing,China
2173,105.9,144.9,2022,November,2022-11-01,0,Hatchback,Bestune,China
2167,169.8,221.8,2022,November,2022-11-01,0,SUV,Ford,United States
2122,245.8,345.8,2022,November,2022-11-01,0,SUV,Lincoln,United States
2107,85.8,125.8,2022,November,2022-11-01,0,MPV,Wuling Motors,China
2095,99.8,130.8,2022,November,2022-11-01,0,SUV,Venucia,China
2073,59.9,99.9,2022,November,2022-11-01,0,MPV,Dongfeng Fengxing,China
2046,29.8,73.9,2022,November,2022-11-01,1,Hatchback,Lei Ding,China
2039,69.8,90.8,2022,November,2022-11-01,0,MPV,Wuling Motors,China
2000,139.9,164.9,2022,November,2022-11-01,0,SUV,Ch1rolet,United States
1999,152.9,178.9,2022,November,2022-11-01,0,NA,Buick,United States
1982,99.8,169.9,2022,November,2022-11-01,0,Sedan,Honda,Japan
1928,141.8,179.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
1927,368,554,2022,November,2022-11-01,1,SUV,NIO,China
1901,109.8,159.8,2022,November,2022-11-01,0,MPV,GAC Group,China
1901,246.8,329.8,2022,November,2022-11-01,0,SUV,Honda,Japan
1900,283.9,344.8,2022,November,2022-11-01,0,SUV,Mercedes-Benz,Germany
1890,41.8,68.8,2022,November,2022-11-01,1,Hatchback,Jimai,China
1872,78.8,102.8,2022,November,2022-11-01,0,Sedan,Kia,South Korea
1869,205.8,249.9,2022,November,2022-11-01,0,Sedan,BMW,Germany
1817,299.9,359.9,2022,November,2022-11-01,0,SUV,Buick,United States
1813,104.9,145.8,2022,November,2022-11-01,0,SUV,Jetta,Germany
1808,289.8,347.8,2022,November,2022-11-01,0,MPV,Mercedes-Benz,Germany
1807,239.9,285.9,2022,November,2022-11-01,1,Sedan,XPeng Motors,China
1791,146.8,272.8,2022,November,2022-11-01,1,SUV,Skyworth,China
1783,389.8,475.8,2022,November,2022-11-01,0,SUV,Jaguar,United Kingdom
1769,79.9,269.8,2022,November,2022-11-01,0,SUV,SWM Motors,China
1757,193.8,286.8,2022,November,2022-11-01,1,Sedan,Leapmotor,China
1752,83.9,99.9,2022,November,2022-11-01,0,Sedan,Ch1rolet,United States
1751,129.9,159.9,2022,November,2022-11-01,1,Sedan,Changan,China
1751,129.8,207.8,2022,November,2022-11-01,0,NA,Geometry,China
1745,229,263,2022,November,2022-11-01,0,NA,Great Wall,China
1745,79.9,112.9,2022,November,2022-11-01,1,Hatchback,Chery,China
1744,187.6,269.8,2022,November,2022-11-01,1,SUV,GAC Aion,China
1735,199.8,284.8,2022,November,2022-11-01,1,SUV,Toyota,Japan
1734,199.7,227.8,2022,November,2022-11-01,1,SUV,Lynk & Co,China
1730,175,218,2022,November,2022-11-01,1,SUV,Honda,Japan
1701,78.8,102.8,2022,November,2022-11-01,0,SUV,GAC Group,China
1657,131.9,180.9,2022,November,2022-11-01,1,Sedan,Dongfeng Fengxing,China
1637,228.8,268.8,2022,November,2022-11-01,0,SUV,Audi,Germany
1633,229.8,309.8,2022,November,2022-11-01,0,SUV,Ford,United States
1627,302.5,369.5,2022,November,2022-11-01,1,NA,SAIC Group,China
1623,67.8,93.9,2022,November,2022-11-01,0,Sedan,Kaiyi,China
1604,152.4,152.4,2022,November,2022-11-01,1,Sedan,Chery,China
1596,145.8,172.8,2022,November,2022-11-01,1,MPV,BYD,China
1590,66.9,90.9,2022,November,2022-11-01,1,Hatchback,JAC Group,China
1583,136.8,188.8,2022,November,2022-11-01,1,Sedan,SAIC Group,China
1546,309.9,469.9,2022,November,2022-11-01,1,SUV,XPeng Motors,China
1539,135.7,171.7,2022,November,2022-11-01,0,NA,Geely Automobile,China
1535,65.9,79.9,2022,November,2022-11-01,0,SUV,Dongfeng Xiaokang,China
1532,155.8,175.8,2022,November,2022-11-01,0,NA,Changan,China
1520,358.8,538.8,2022,November,2022-11-01,0,MPV,Hongqi,China
1515,139.8,158.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
1513,53.9,129.8,2022,November,2022-11-01,0,SUV,Kaiyi,China
1493,139.8,169.8,2022,November,2022-11-01,0,SUV,Ford,United States
1483,141.8,190.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
1483,289.8,402.8,2022,November,2022-11-01,0,MPV,Volkswagen,Germany
1455,119.9,164.9,2022,November,2022-11-01,0,SUV,Changan,China
1453,177.9,249.9,2022,November,2022-11-01,1,Sedan,XPeng Motors,China
1445,145.9,184.9,2022,November,2022-11-01,0,SUV,Changan,China
1441,84.9,115.9,2022,November,2022-11-01,0,Sedan,Hyundai,South Korea
1415,105.8,141.8,2022,November,2022-11-01,0,SUV,Bestune,China
1415,130,167,2022,November,2022-11-01,0,SUV,Great Wall,China
1326,109.8,169.8,2022,November,2022-11-01,0,Sedan,Honda,Japan
1319,399.7,489.7,2022,November,2022-11-01,0,Sedan,Cadillac,United States
1263,68.9,123,2022,November,2022-11-01,0,SUV,Dongfeng Fengxing,China
1254,264.8,354.8,2022,November,2022-11-01,0,SUV,Volvo,Sweden
1231,67.9,99.9,2022,November,2022-11-01,0,Sedan,SAIC Group,China
1223,499.9,536.9,2022,November,2022-11-01,1,Sedan,BMW,Germany
1205,309.8,860,2022,November,2022-11-01,0,Sedan,Hongqi,China
1201,33.9,49.9,2022,November,2022-11-01,1,Hatchback,Beijing,China
1196,34.8,36.6,2022,November,2022-11-01,0,NA,Wuling Motors,China
1179,87.8,165.8,2022,November,2022-11-01,0,NA,SAIC Maxus,China
1167,115.9,160.9,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
1162,79.9,129.9,2022,November,2022-11-01,0,SUV,Dongfeng Xiaokang,China
1151,285.8,332.9,2022,November,2022-11-01,0,SUV,BMW,Germany
1129,115.9,160.9,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
1092,152.8,165.9,2022,November,2022-11-01,1,SUV,SAIC Group,China
1090,319.9,374.9,2022,November,2022-11-01,1,SUV,Lynk & Co,China
1084,299.9,407.9,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
1047,179.8,206.8,2022,November,2022-11-01,0,SUV,Lynk & Co,China
1044,71.8,92.8,2022,November,2022-11-01,0,Hatchback,Toyota,Japan
1043,93.3,155.9,2022,November,2022-11-01,0,SUV,SAIC Group,China
1040,253.3,338.9,2022,November,2022-11-01,1,SUV,Volkswagen,Germany
1038,211.8,297.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
1035,99.9,135.9,2022,November,2022-11-01,0,Hatchback,Nissan,Japan
1030,369.9,689.9,2022,November,2022-11-01,0,NA,LanTu,China
1023,99.7,99.7,2022,November,2022-11-01,0,SUV,Peugeot,France
1017,219.8,259.8,2022,November,2022-11-01,1,SUV,SAIC Group,China
1014,199.8,287.8,2022,November,2022-11-01,1,SUV,Toyota,Japan
1010,109.9,128.9,2022,November,2022-11-01,0,SUV,Ch1rolet,United States
1005,168.9,201.9,2022,November,2022-11-01,1,SUV,XPeng Motors,China
1003,214.8,279.8,2022,November,2022-11-01,0,SUV,Great Wall,China
1002,175,218,2022,November,2022-11-01,1,SUV,Honda,Japan
987,251.8,340.8,2022,November,2022-11-01,0,Sedan,Lincoln,United States
982,299.8,380.8,2022,November,2022-11-01,0,Sedan,Jaguar,United Kingdom
970,399.8,499.8,2022,November,2022-11-01,0,Sedan,Jaguar,United Kingdom
916,75.9,89.9,2022,November,2022-11-01,0,SUV,Geely Automobile,China
911,54.8,85.8,2022,November,2022-11-01,0,SUV,Dongfeng Xiaokang,China
910,356.8,455.8,2022,November,2022-11-01,0,SUV,Jaguar,United Kingdom
909,117.8,190.8,2022,November,2022-11-01,0,NA,SAIC Maxus,China
894,175.8,245.8,2022,November,2022-11-01,0,SUV,Mazda,Japan
894,145.8,189.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
890,60.9,85.9,2022,November,2022-11-01,0,MPV,SRM Xinyuan,China
877,529.9,689.9,2022,November,2022-11-01,0,MPV,Buick,United States
851,69.9,119.9,2022,November,2022-11-01,0,SUV,SWM Motors,China
839,0,0,2022,November,2022-11-01,0,NA,Geometry,China
830,139.8,157.8,2022,November,2022-11-01,0,SUV,Kia,South Korea
828,439.7,479.7,2022,November,2022-11-01,0,NA,Cadillac,United States
825,65.8,94.8,2022,November,2022-11-01,0,MPV,JAC Motors,China
824,125.8,149.8,2022,November,2022-11-01,0,MPV,Haima,China
812,69.8,83.8,2022,November,2022-11-01,0,SUV,Kia,South Korea
800,84.9,108.9,2022,November,2022-11-01,0,SUV,Geely Automobile,China
793,0,0,2022,November,2022-11-01,1,MPV,BYD,China
788,232.9,295.8,2022,November,2022-11-01,0,NA,Volkswagen,Germany
782,108.8,153.8,2022,November,2022-11-01,0,Hatchback,Ford,United States
779,159.8,229.8,2022,November,2022-11-01,0,SUV,Mitsubishi Motors,Japan
758,133.8,154.8,2022,November,2022-11-01,0,Sedan,Hyundai,South Korea
755,265.9,320.9,2022,November,2022-11-01,0,SUV,Lynk & Co,China
751,109.8,131.8,2022,November,2022-11-01,0,Sedan,Kia,South Korea
726,179.8,309.8,2022,November,2022-11-01,0,SUV,SAIC Maxus,China
724,167.7,233.7,2022,November,2022-11-01,0,SUV,Peugeot,France
706,289.3,361.8,2022,November,2022-11-01,0,NA,Audi,Germany
705,496,656,2022,November,2022-11-01,1,SUV,NIO,China
704,85.9,104.9,2022,November,2022-11-01,0,SUV,Bestune,China
696,129.9,199.9,2022,November,2022-11-01,0,SUV,Mazda,Japan
692,46.9,54.4,2022,November,2022-11-01,0,MPV,Changan KaiCheng,China
677,265,379.9,2022,November,2022-11-01,0,NA,Ford,United States
665,64.8,81.8,2022,November,2022-11-01,1,Hatchback,Dendrobium,China
656,233.2,242.2,2022,November,2022-11-01,1,Sedan,Volkswagen,Germany
654,338,338,2022,November,2022-11-01,1,SUV,Li Auto,China
649,153.8,163.8,2022,November,2022-11-01,1,Sedan,Dongfeng,China
646,178.7,263.7,2022,November,2022-11-01,0,SUV,Peugeot,France
630,149.8,186.8,2022,November,2022-11-01,0,NA,Geometry,China
627,49.9,67.9,2022,November,2022-11-01,0,SUV,Rayton,China
626,43.9,75.8,2022,November,2022-11-01,1,Hatchback,Xinri,China
608,229.9,333.9,2022,November,2022-11-01,0,SUV,Ch1rolet,United States
608,338.8,578.8,2022,November,2022-11-01,0,Sedan,IM,China
596,159.9,179.9,2022,November,2022-11-01,1,Hatchback,Ch1rolet,United States
594,166.9,249.9,2022,November,2022-11-01,1,SUV,Aiways,China
572,154.8,155.8,2022,November,2022-11-01,1,Sedan,BYD,China
561,32.6,59.1,2022,November,2022-11-01,1,Hatchback,Dongfeng Xiaokang,China
559,159.9,195.9,2022,November,2022-11-01,0,SUV,Honda,Japan
554,119.9,156.9,2022,November,2022-11-01,0,MPV,Dongfeng Fengxing,China
548,134.9,186.9,2022,November,2022-11-01,0,SUV,Bestune,China
545,407.3,407.3,2022,November,2022-11-01,1,Sedan,Mercedes-Benz,Germany
544,328.8,478.8,2022,November,2022-11-01,0,SUV,Lincoln,United States
543,161.8,205.8,2022,November,2022-11-01,0,Sedan,Hyundai,South Korea
542,38.8,49.8,2022,November,2022-11-01,1,Hatchback,Jimai,China
529,99.9,99.9,2022,November,2022-11-01,0,Sedan,Skoda,Czech Republic
519,126.6,149.6,2022,November,2022-11-01,0,SUV,Venucia,China
511,165.8,212.8,2022,November,2022-11-01,1,MPV,SAIC Maxus,China
511,109.9,154.9,2022,November,2022-11-01,0,Hatchback,Skoda,Czech Republic
501,378,554,2022,November,2022-11-01,1,NA,NIO,China
500,169.8,218.8,2022,November,2022-11-01,0,MPV,Hyundai,South Korea
494,169.8,221.8,2022,November,2022-11-01,0,SUV,Ford,United States
491,157.8,167.8,2022,November,2022-11-01,1,MPV,BYD,China
480,125.9,215.9,2022,November,2022-11-01,0,SUV,Dongfeng Xiaokang,China
478,313.6,419.9,2022,November,2022-11-01,1,SUV,LanTu,China
